[ 00:00:04.422 -->  00:00:11.587] A SPEAKER_03
[ 00:00:12.300 -->  00:00:16.816] B SPEAKER_03
[ 00:00:17.258 -->  00:00:25.662] C SPEAKER_03
[ 00:00:25.662 -->  00:00:36.850] D SPEAKER_04
[ 00:00:36.748 -->  00:00:38.039] E SPEAKER_03
[ 00:00:38.039 -->  00:01:11.977] F SPEAKER_04
[ 00:00:39.567 -->  00:00:40.229] G SPEAKER_03
[ 00:01:11.994 -->  00:01:21.298] H SPEAKER_03
[ 00:01:21.740 -->  00:01:28.853] I SPEAKER_03
[ 00:01:29.278 -->  00:01:31.893] J SPEAKER_03
[ 00:01:31.502 -->  00:01:32.368] K SPEAKER_02
[ 00:01:32.928 -->  00:01:33.624] L SPEAKER_03
[ 00:01:33.624 -->  00:01:33.658] M SPEAKER_02
[ 00:01:33.658 -->  00:01:33.675] N SPEAKER_03
[ 00:01:33.675 -->  00:01:33.692] O SPEAKER_02
[ 00:01:33.692 -->  00:01:33.930] P SPEAKER_03
[ 00:01:33.930 -->  00:01:33.981] Q SPEAKER_02
[ 00:01:33.981 -->  00:01:33.998] R SPEAKER_03
[ 00:01:33.998 -->  00:01:38.735] S SPEAKER_02
[ 00:01:37.767 -->  00:01:38.599] T SPEAKER_04
[ 00:01:38.735 -->  00:01:43.862] U SPEAKER_04
[ 00:01:39.023 -->  00:01:40.398] V SPEAKER_02
[ 00:01:43.862 -->  00:01:45.407] W SPEAKER_01
[ 00:01:45.339 -->  00:01:57.003] X SPEAKER_04
[ 00:01:46.714 -->  00:01:47.699] Y SPEAKER_01
[ 00:01:57.003 -->  00:02:02.470] Z SPEAKER_02
[ 00:01:59.940 -->  00:02:00.398] AA SPEAKER_01
[ 00:02:01.910 -->  00:02:04.371] AB SPEAKER_01
[ 00:02:04.219 -->  00:02:14.473] AC SPEAKER_02
[ 00:02:10.025 -->  00:02:10.874] AD SPEAKER_03
[ 00:02:10.874 -->  00:02:10.925] AE SPEAKER_00
[ 00:02:11.315 -->  00:02:11.383] AF SPEAKER_00
[ 00:02:11.383 -->  00:02:11.774] AG SPEAKER_03
[ 00:02:14.711 -->  00:02:16.816] AH SPEAKER_02
[ 00:02:16.341 -->  00:02:19.940] AI SPEAKER_03
[ 00:02:19.940 -->  00:02:32.792] AJ SPEAKER_02
[ 00:02:25.628 -->  00:02:27.003] AK SPEAKER_03
[ 00:02:27.003 -->  00:02:27.020] AL SPEAKER_01
[ 00:02:27.020 -->  00:02:27.054] AM SPEAKER_03
[ 00:02:27.325 -->  00:02:27.342] AN SPEAKER_04
[ 00:02:27.342 -->  00:02:27.359] AO SPEAKER_03
[ 00:02:27.359 -->  00:02:27.393] AP SPEAKER_00
[ 00:02:30.585 -->  00:02:30.721] AQ SPEAKER_01
[ 00:02:30.721 -->  00:02:30.857] AR SPEAKER_04
[ 00:02:30.857 -->  00:02:30.942] AS SPEAKER_01
[ 00:02:30.942 -->  00:02:30.993] AT SPEAKER_04
[ 00:02:32.792 -->  00:02:33.556] AU SPEAKER_04
[ 00:02:32.928 -->  00:02:33.896] AV SPEAKER_01
